          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    2.250    11    11    11.0    110  18141 |   10  2251    0.0034    0.0003    0.0000 |
    2.260    11    11    11.0    110  18251 |   10  2261    0.0037    0.0004    0.0000 |
    2.270    11    11    11.0    110  18361 |   10  2271    0.0036    0.0004    0.0000 |
    2.280    11    11    11.0    110  18471 |   10  2281    0.0034    0.0003    0.0000 |
    2.290    11    11    11.0    110  18581 |   10  2291    0.0037    0.0004    0.0000 |
    2.300    11    11    11.0    110  18691 |   10  2301    0.0034    0.0003    0.0000 |
    2.310    11    11    11.0    110  18801 |   10  2311    0.0035    0.0004    0.0000 |
    2.320    11    11    11.0    110  18911 |   10  2321    0.0035    0.0003    0.0000 |
    2.330    11    11    11.0    110  19021 |   10  2331    0.0033    0.0003    0.0000 |
    2.340    11    11    11.0    110  19131 |   10  2341    0.0037    0.0004    0.0000 |
    2.350    11    11    11.0    110  19241 |   10  2351    0.0036    0.0004    0.0000 |
    2.360    11    11    11.0    110  19351 |   10  2361    0.0032    0.0003    0.0000 |
    2.370    11    11    11.0    110  19461 |   10  2371    0.0035    0.0003    0.0000 |
    2.380    11    11    11.0    110  19571 |   10  2381    0.0033    0.0003    0.0000 |
    2.390    11    11    11.0    110  19681 |   10  2391    0.0033    0.0003    0.0000 |
    2.400    11    11    11.0    110  19791 |   10  2401    0.0034    0.0003    0.0000 |
    2.410    11    11    11.0    110  19901 |   10  2411    0.0035    0.0003    0.0000 |
    2.420    11    11    11.0    110  20011 |   10  2421    0.0034    0.0003    0.0000 |
    2.430    11    11    11.0    110  20121 |   10  2431    0.0035    0.0003    0.0000 |
    2.440    11    11    11.0    110  20231 |   10  2441    0.0032    0.0003    0.0000 |
    2.450    11    11    11.0    110  20341 |   10  2451    0.0034    0.0003    0.0000 |
    2.460    11    11    11.0    110  20451 |   10  2461    0.0033    0.0003    0.0000 |
    2.470    11    11    11.0    110  20561 |   10  2471    0.0034    0.0003    0.0000 |
    2.480    11    11    11.0    110  20671 |   10  2481    0.0037    0.0004    0.0000 |
    2.490    11    11    11.0    110  20781 |   10  2491    0.0038    0.0004    0.0000 |
    2.500    11    11    11.0    110  20891 |   10  2501    0.0036    0.0004    0.0000 |
    2.510    11    11    11.0    110  21001 |   10  2511    0.0037    0.0004    0.0000 |
    2.520    11    11    11.0    110  21111 |   10  2521    0.0035    0.0004    0.0000 |
    2.530    11    11    11.0    110  21221 |   10  2531    0.0037    0.0004    0.0000 |
