          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    3.020    19    19    19.0    190  40999 |   10  3021    0.0368    0.0037    0.0002 |
    3.030    19    19    19.0    190  41189 |   10  3031    0.0344    0.0034    0.0002 |
    3.040    19    19    19.0    190  41379 |   10  3041    0.0334    0.0033    0.0002 |
    3.050    19    20    19.5    195  41574 |   10  3051    0.0357    0.0036    0.0002 |
    3.060    20    20    20.0    200  41774 |   10  3061    0.0359    0.0036    0.0002 |
    3.070    20    20    20.0    200  41974 |   10  3071    0.0367    0.0037    0.0002 |
    3.080    20    20    20.0    200  42174 |   10  3081    0.0364    0.0036    0.0002 |
    3.090    20    20    20.0    200  42374 |   10  3091    0.0372    0.0037    0.0002 |
    3.100    20    20    20.0    200  42574 |   10  3101    0.0380    0.0038    0.0002 |
    3.110    20    20    20.0    200  42774 |   10  3111    0.0368    0.0037    0.0002 |
    3.120    20    20    20.0    200  42974 |   10  3121    0.0376    0.0038    0.0002 |
    3.130    20    20    20.0    200  43174 |   10  3131    0.0417    0.0042    0.0002 |
    3.140    21    21    21.0    210  43384 |   10  3141    0.0391    0.0039    0.0002 |
    3.150    21    21    21.0    210  43594 |   10  3151    0.0377    0.0038    0.0002 |
    3.160    21    21    21.0    210  43804 |   10  3161    0.0393    0.0039    0.0002 |
    3.170    21    21    21.0    210  44014 |   10  3171    0.0417    0.0042    0.0002 |
    3.180    21    21    21.0    210  44224 |   10  3181    0.0420    0.0042    0.0002 |
    3.190    21    21    21.0    210  44434 |   10  3191    0.0380    0.0038    0.0002 |
    3.200    21    21    21.0    210  44644 |   10  3201    0.0379    0.0038    0.0002 |
    3.210    21    21    21.0    210  44854 |   10  3211    0.0400    0.0040    0.0002 |
    3.220    21    21    21.0    210  45064 |   10  3221    0.0394    0.0039    0.0002 |
    3.230    21    21    21.0    210  45274 |   10  3231    0.0382    0.0038    0.0002 |
    3.240    21    21    21.0    210  45484 |   10  3241    0.0400    0.0040    0.0002 |
    3.250    20    21    20.8    208  45692 |   10  3251    0.0385    0.0038    0.0002 |
    3.260    20    20    20.0    200  45892 |   10  3261    0.0377    0.0038    0.0002 |
