          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    1.165     5     5     5.0     25   5586 |    5  1166    0.0077    0.0015    0.0003 |
    1.170     5     5     5.0     25   5611 |    5  1171    0.0070    0.0014    0.0003 |
    1.175     5     5     5.0     25   5636 |    5  1176    0.0084    0.0017    0.0003 |
    1.180     5     5     5.0     25   5661 |    5  1181    0.0072    0.0014    0.0003 |
    1.185     5     5     5.0     25   5686 |    5  1186    0.0085    0.0017    0.0003 |
    1.190     5     5     5.0     25   5711 |    5  1191    0.0064    0.0013    0.0003 |
    1.195     5     5     5.0     25   5736 |    5  1196    0.0067    0.0013    0.0003 |
    1.200     5     5     5.0     25   5761 |    5  1201    0.0078    0.0016    0.0003 |
    1.205     5     5     5.0     25   5786 |    5  1206    0.0064    0.0013    0.0003 |
    1.210     5     5     5.0     25   5811 |    5  1211    0.0067    0.0013    0.0003 |
    1.215     5     5     5.0     25   5836 |    5  1216    0.0061    0.0012    0.0002 |
    1.220     5     5     5.0     25   5861 |    5  1221    0.0065    0.0013    0.0003 |
    1.225     5     5     5.0     25   5886 |    5  1226    0.0066    0.0013    0.0003 |
    1.230     5     5     5.0     25   5911 |    5  1231    0.0058    0.0012    0.0002 |
    1.235     5     5     5.0     25   5936 |    5  1236    0.0069    0.0014    0.0003 |
    1.240     5     5     5.0     25   5961 |    5  1241    0.0069    0.0014    0.0003 |
    1.245     5     5     5.0     25   5986 |    5  1246    0.0080    0.0016    0.0003 |
    1.250     5     5     5.0     25   6011 |    5  1251    0.0077    0.0015    0.0003 |
    1.255     5     5     5.0     25   6036 |    5  1256    0.0070    0.0014    0.0003 |
    1.260     5     5     5.0     25   6061 |    5  1261    0.0067    0.0013    0.0003 |
    1.265     5     5     5.0     25   6086 |    5  1266    0.0075    0.0015    0.0003 |
    1.270     5     5     5.0     25   6111 |    5  1271    0.0067    0.0013    0.0003 |
    1.275     5     5     5.0     25   6136 |    5  1276    0.0063    0.0013    0.0003 |
    1.280     5     5     5.0     25   6161 |    5  1281    0.0071    0.0014    0.0003 |
    1.285     5     5     5.0     25   6186 |    5  1286    0.0065    0.0013    0.0003 |
    1.290     5     5     5.0     25   6211 |    5  1291    0.0065    0.0013    0.0003 |
    1.295     5     5     5.0     25   6236 |    5  1296    0.0064    0.0013    0.0003 |
    1.300     5     5     5.0     25   6261 |    5  1301    0.0069    0.0014    0.0003 |
    1.305     5     5     5.0     25   6286 |    5  1306    0.0068    0.0014    0.0003 |
    1.310     5     5     5.0     25   6311 |    5  1311    0.0069    0.0014    0.0003 |
    1.315     5     5     5.0     25   6336 |    5  1316    0.0063    0.0013    0.0003 |
    1.320     5     5     5.0     25   6361 |    5  1321    0.0076    0.0015    0.0003 |
    1.325     5     5     5.0     25   6386 |    5  1326    0.0062    0.0012    0.0002 |
    1.330     5     5     5.0     25   6411 |    5  1331    0.0069    0.0014    0.0003 |
    1.335     5     5     5.0     25   6436 |    5  1336    0.0075    0.0015    0.0003 |
    1.340     5     5     5.0     25   6461 |    5  1341    0.0072    0.0014    0.0003 |
    1.345     5     5     5.0     25   6486 |    5  1346    0.0066    0.0013    0.0003 |
    1.350     5     5     5.0     25   6511 |    5  1351    0.0064    0.0013    0.0003 |
    1.355     5     5     5.0     25   6536 |    5  1356    0.0074    0.0015    0.0003 |
    1.360     5     5     5.0     25   6561 |    5  1361    0.0074    0.0015    0.0003 |
    1.365     5     5     5.0     25   6586 |    5  1366    0.0069    0.0014    0.0003 |
    1.370     5     5     5.0     25   6611 |    5  1371    0.0078    0.0016    0.0003 |
    1.375     5     5     5.0     25   6636 |    5  1376    0.0071    0.0014    0.0003 |
    1.380     5     5     5.0     25   6661 |    5  1381    0.0079    0.0016    0.0003 |
    1.385     5     5     5.0     25   6686 |    5  1386    0.0064    0.0013    0.0003 |
    1.390     5     5     5.0     25   6711 |    5  1391    0.0076    0.0015    0.0003 |
    1.395     5     5     5.0     25   6736 |    5  1396    0.0067    0.0013    0.0003 |
    1.400     5     5     5.0     25   6761 |    5  1401    0.0076    0.0015    0.0003 |
    1.405     5     5     5.0     25   6786 |    5  1406    0.0076    0.0015    0.0003 |
    1.410     4     5     4.8     24   6810 |    5  1411    0.0064    0.0013    0.0003 |
    1.415     4     4     4.0     20   6830 |    5  1416    0.0056    0.0011    0.0003 |
    1.420     4     4     4.0     20   6850 |    5  1421    0.0060    0.0012    0.0003 |
    1.425     4     4     4.0     20   6870 |    5  1426    0.0056    0.0011    0.0003 |
    1.430     4     4     4.0     20   6890 |    5  1431    0.0062    0.0012    0.0003 |
    1.435     4     4     4.0     20   6910 |    5  1436    0.0057    0.0011    0.0003 |
    1.440     4     4     4.0     20   6930 |    5  1441    0.0066    0.0013    0.0003 |
    1.445     4     4     4.0     20   6950 |    5  1446    0.0061    0.0012    0.0003 |
    1.450     4     4     4.0     20   6970 |    5  1451    0.0067    0.0013    0.0003 |
    1.455     4     4     4.0     20   6990 |    5  1456    0.0058    0.0012    0.0003 |
    1.460     4     4     4.0     20   7010 |    5  1461    0.0074    0.0015    0.0004 |
    1.465     4     4     4.0     20   7030 |    5  1466    0.0058    0.0012    0.0003 |
    1.470     4     4     4.0     20   7050 |    5  1471    0.0058    0.0012    0.0003 |
    1.475     4     4     4.0     20   7070 |    5  1476    0.0064    0.0013    0.0003 |
    1.480     4     4     4.0     20   7090 |    5  1481    0.0056    0.0011    0.0003 |
    1.485     4     4     4.0     20   7110 |    5  1486    0.0060    0.0012    0.0003 |
    1.490     4     4     4.0     20   7130 |    5  1491    0.0060    0.0012    0.0003 |
    1.495     4     4     4.0     20   7150 |    5  1496    0.0055    0.0011    0.0003 |
    1.500     4     4     4.0     20   7170 |    5  1501    0.0056    0.0011    0.0003 |
    1.505     4     4     4.0     20   7190 |    5  1506    0.0057    0.0011    0.0003 |
    1.510     4     4     4.0     20   7210 |    5  1511    0.0064    0.0013    0.0003 |
    1.515     4     4     4.0     20   7230 |    5  1516    0.0065    0.0013    0.0003 |
    1.520     4     4     4.0     20   7250 |    5  1521    0.0061    0.0012    0.0003 |
    1.525     4     4     4.0     20   7270 |    5  1526    0.0069    0.0014    0.0003 |
    1.530     4     4     4.0     20   7290 |    5  1531    0.0070    0.0014    0.0003 |
    1.535     4     4     4.0     20   7310 |    5  1536    0.0058    0.0012    0.0003 |
    1.540     4     4     4.0     20   7330 |    5  1541    0.0056    0.0011    0.0003 |
    1.545     4     4     4.0     20   7350 |    5  1546    0.0064    0.0013    0.0003 |
    1.550     4     4     4.0     20   7370 |    5  1551    0.0065    0.0013    0.0003 |
    1.555     4     4     4.0     20   7390 |    5  1556    0.0060    0.0012    0.0003 |
    1.560     4     4     4.0     20   7410 |    5  1561    0.0063    0.0013    0.0003 |
    1.565     4     4     4.0     20   7430 |    5  1566    0.0056    0.0011    0.0003 |
    1.570     4     4     4.0     20   7450 |    5  1571    0.0062    0.0012    0.0003 |
    1.575     4     4     4.0     20   7470 |    5  1576    0.0062    0.0012    0.0003 |
    1.580     4     4     4.0     20   7490 |    5  1581    0.0063    0.0013    0.0003 |
    1.585     4     4     4.0     20   7510 |    5  1586    0.0072    0.0014    0.0004 |
    1.590     4     4     4.0     20   7530 |    5  1591    0.0054    0.0011    0.0003 |
    1.595     4     4     4.0     20   7550 |    5  1596    0.0067    0.0013    0.0003 |
    1.600     4     4     4.0     20   7570 |    5  1601    0.0057    0.0011    0.0003 |
    1.605     4     4     4.0     20   7590 |    5  1606    0.0069    0.0014    0.0003 |
    1.610     4     4     4.0     20   7610 |    5  1611    0.0049    0.0010    0.0002 |
    1.615     4     4     4.0     20   7630 |    5  1616    0.0055    0.0011    0.0003 |
    1.620     4     4     4.0     20   7650 |    5  1621    0.0070    0.0014    0.0004 |
    1.625     4     4     4.0     20   7670 |    5  1626    0.0060    0.0012    0.0003 |
    1.630     4     4     4.0     20   7690 |    5  1631    0.0057    0.0011    0.0003 |
    1.635     4     4     4.0     20   7710 |    5  1636    0.0063    0.0013    0.0003 |
    1.640     4     4     4.0     20   7730 |    5  1641    0.0059    0.0012    0.0003 |
    1.645     4     4     4.0     20   7750 |    5  1646    0.0057    0.0011    0.0003 |
    1.650     4     4     4.0     20   7770 |    5  1651    0.0056    0.0011    0.0003 |
    1.655     4     4     4.0     20   7790 |    5  1656    0.0063    0.0013    0.0003 |
    1.660     4     4     4.0     20   7810 |    5  1661    0.0067    0.0013    0.0003 |
    1.665     4     4     4.0     20   7830 |    5  1666    0.0050    0.0010    0.0003 |
