          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    1.475    52    52    52.0    260  77826 |    5  1476    0.0078    0.0016    0.0000 |
    1.480    52    52    52.0    260  78086 |    5  1481    0.0069    0.0014    0.0000 |
    1.485    52    52    52.0    260  78346 |    5  1486    0.0070    0.0014    0.0000 |
    1.490    52    52    52.0    260  78606 |    5  1491    0.0070    0.0014    0.0000 |
    1.495    52    52    52.0    260  78866 |    5  1496    0.0065    0.0013    0.0000 |
    1.500    52    52    52.0    260  79126 |    5  1501    0.0066    0.0013    0.0000 |
    1.505    52    52    52.0    260  79386 |    5  1506    0.0070    0.0014    0.0000 |
    1.510    52    52    52.0    260  79646 |    5  1511    0.0064    0.0013    0.0000 |
    1.515    52    52    52.0    260  79906 |    5  1516    0.0087    0.0017    0.0000 |
    1.520    52    52    52.0    260  80166 |    5  1521    0.0079    0.0016    0.0000 |
    1.525    52    52    52.0    260  80426 |    5  1526    0.0067    0.0013    0.0000 |
    1.530    52    52    52.0    260  80686 |    5  1531    0.0082    0.0016    0.0000 |
    1.535    52    52    52.0    260  80946 |    5  1536    0.0062    0.0012    0.0000 |
    1.540    52    52    52.0    260  81206 |    5  1541    0.0067    0.0013    0.0000 |
    1.545    52    52    52.0    260  81466 |    5  1546    0.0074    0.0015    0.0000 |
    1.550    52    52    52.0    260  81726 |    5  1551    0.0068    0.0014    0.0000 |
    1.555    52    52    52.0    260  81986 |    5  1556    0.0068    0.0014    0.0000 |
    1.560    52    52    52.0    260  82246 |    5  1561    0.0070    0.0014    0.0000 |
    1.565    52    52    52.0    260  82506 |    5  1566    0.0066    0.0013    0.0000 |
    1.570    52    52    52.0    260  82766 |    5  1571    0.0068    0.0014    0.0000 |
    1.575    52    52    52.0    260  83026 |    5  1576    0.0067    0.0013    0.0000 |
    1.580    52    52    52.0    260  83286 |    5  1581    0.0072    0.0014    0.0000 |
    1.585    52    52    52.0    260  83546 |    5  1586    0.0076    0.0015    0.0000 |
    1.590    52    52    52.0    260  83806 |    5  1591    0.0069    0.0014    0.0000 |
    1.595    52    52    52.0    260  84066 |    5  1596    0.0083    0.0017    0.0000 |
    1.600    52    52    52.0    260  84326 |    5  1601    0.0066    0.0013    0.0000 |
    1.605    52    52    52.0    260  84586 |    5  1606    0.0085    0.0017    0.0000 |
    1.610    52    52    52.0    260  84846 |    5  1611    0.0067    0.0013    0.0000 |
    1.615    52    52    52.0    260  85106 |    5  1616    0.0064    0.0013    0.0000 |
    1.620    52    52    52.0    260  85366 |    5  1621    0.0073    0.0015    0.0000 |
    1.625    52    52    52.0    260  85626 |    5  1626    0.0067    0.0013    0.0000 |
    1.630    52    52    52.0    260  85886 |    5  1631    0.0067    0.0013    0.0000 |
    1.635    52    52    52.0    260  86146 |    5  1636    0.0077    0.0015    0.0000 |
    1.640    52    52    52.0    260  86406 |    5  1641    0.0069    0.0014    0.0000 |
